id,pid,os_id,os,os_c,os_cp,paras,paras_c,paras_cp,start_time,end_time
1,86105149-ab6f-490b-a4b3-40dcead5b05d,task1_dummy,task1_dummy,-1,-1.0,jkhdalksjdlkasjdlkasd,1,51.7889,2025-05-25 13:27:10,2025-05-25 13:27:10
2,86105149-ab6f-490b-a4b3-40dcead5b05d,task1_dummy,task1_dummy,-1,-1.0,sakdhjkajsdhkajsdhkasd,0,53.1785,2025-05-25 13:27:18,2025-05-25 13:27:18
3,86105149-ab6f-490b-a4b3-40dcead5b05d,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:27:39,2025-05-25 13:27:48
4,86105149-ab6f-490b-a4b3-40dcead5b05d,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:27:54,2025-05-25 13:28:10
5,86105149-ab6f-490b-a4b3-40dcead5b05d,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:28:14,2025-05-25 13:28:19
6,32412dc6-5ac2-400a-9938-5d5f6444b0e5,task1_dummy,task1_dummy,-1,-1.0,kjhasdkjdhsakjds,0,51.1943,2025-05-25 13:33:18,2025-05-25 13:33:18
7,32412dc6-5ac2-400a-9938-5d5f6444b0e5,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:33:22,2025-05-25 13:33:31
8,32412dc6-5ac2-400a-9938-5d5f6444b0e5,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:33:34,2025-05-25 13:33:41
9,32412dc6-5ac2-400a-9938-5d5f6444b0e5,2073,"On a Saturday afternoon this summer I received a phone call from a good friend of mine. This friend I had known had a drinking problem for many years. I had made many attempts in the past to suggest help for him, but he refused. On this day my friend decided to drink and drive and crashed his car. This day was important to me because it was the day my friend hit rock bottom and decided to get help. On this day my friend went fishing and, unknown to me, he was drinking. I got the phone call from him that he had driven his car in a ditch and needed picked up because he could not get it out. I went to pick him up and we contacted another friend who had a truck and could possible pull his car out of this ditch.",0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:33:34,2025-05-25 13:33:44
10,32412dc6-5ac2-400a-9938-5d5f6444b0e5,3955,"About three weeks ago my best friend gets kicked out of her house along with her child and she came to me for help. I gladly accepted her and her child to stay at my home rent free until she is ready to go on. My bestfriend and her husband had a huge falling out. I felt extremely guilty. I allowed her to stay at my house for three weeks now. All she has done for me is take and take from me without ever giving. I figured that she was hurt and not in a good place, so I allowed it. After day in and day out of her not cleaning after herself or her son, not helping around the house, and not being a decent roommate is where I feel like I could have done something.",0,51.7359,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:33:54,2025-05-25 13:33:58
11,32412dc6-5ac2-400a-9938-5d5f6444b0e5,3955,"About three weeks ago my best friend gets kicked out of her house along with her child and she came to me for help. I gladly accepted her and her child to stay at my home rent free until she is ready to go on. My bestfriend and her husband had a huge falling out. I felt extremely guilty. I allowed her to stay at my house for three weeks now. All she has done for me is take and take from me without ever giving. I figured that she was hurt and not in a good place, so I allowed it. After day in and day out of her not cleaning after herself or her son, not helping around the house, and not being a decent roommate is where I feel like I could have done something.",0,51.7359,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:34:00,2025-05-25 13:34:06
12,93650aa5-417b-40b0-9964-dc33fea6bc71,task1_dummy,task1_dummy,-1,-1.0,ldsjflkasjsdlkasd,0,51.0422,2025-05-25 13:47:43,2025-05-25 13:47:43
13,93650aa5-417b-40b0-9964-dc33fea6bc71,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:47:48,2025-05-25 13:48:00
14,93650aa5-417b-40b0-9964-dc33fea6bc71,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:48:03,2025-05-25 13:48:08
15,0eddfc08-0359-4c90-8fab-de21167c4c59,task1_dummy,task1_dummy,-1,-1.0,sakdjhalksdjhasd,0,53.2628,2025-05-25 13:51:34,2025-05-25 13:51:34
16,0eddfc08-0359-4c90-8fab-de21167c4c59,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:51:40,2025-05-25 13:51:47
17,0eddfc08-0359-4c90-8fab-de21167c4c59,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:51:50,2025-05-25 13:51:55
18,a5a31305-5a21-47a9-8970-4ae6f78f4072,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2025-05-25 13:54:29,2025-05-25 13:54:38
