id,pid,os_id,os,os_c,os_cp,paras,paras_c,paras_cp,start_time,end_time
1,08a4fb2d-e6d7-4045-93f5-43125fe35db4,task1_dummy,task1_dummy,-1,-1.0,My name is Lucca the destroyer.,0,59.6887,2025-05-26 11:02:16,2025-05-26 11:02:16
2,08a4fb2d-e6d7-4045-93f5-43125fe35db4,task1_dummy,task1_dummy,-1,-1.0,I woke up a little bit exhausted!,0,72.0549,2025-05-26 11:02:51,2025-05-26 11:02:51
3,08a4fb2d-e6d7-4045-93f5-43125fe35db4,task1_dummy,task1_dummy,-1,-1.0,This morning I woke up at 10 am and took a shower for around 10 minutes. Then I drank some water before I left the house. I biked to university on my bike which took me 10 minutes as well. Now I am writing you a message.,1,90.6789,2025-05-26 11:04:08,2025-05-26 11:04:08
4,08a4fb2d-e6d7-4045-93f5-43125fe35db4,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,1. It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,90.6974,2025-05-26 11:04:11,2025-05-26 11:04:27
5,08a4fb2d-e6d7-4045-93f5-43125fe35db4,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,2. It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,90.5475,2025-05-26 11:04:35,2025-05-26 11:04:45
6,08a4fb2d-e6d7-4045-93f5-43125fe35db4,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,3. It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,90.653,2025-05-26 11:04:50,2025-05-26 11:05:31
7,08a4fb2d-e6d7-4045-93f5-43125fe35db4,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,4. It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,90.157,2025-05-26 11:05:37,2025-05-26 11:05:54
8,08a4fb2d-e6d7-4045-93f5-43125fe35db4,177,It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,91.5618,5. It was my sons birthday the past weekend. He was still young. He love Disney characters and all the movies. We thought we would do something special for him so we gave him a trip to disney world. We don't live that far away and decided it would be a blast. I don't think he was expecting it. The look on his face was precious. His main drive was to get away for his birthday so we couldn't think of a better place. He has a lot of the home movies of disney all memorized. He loves dumbo and bambi the most. He has only seen pictures of was disney world was all about. So seeing it for the first time was quite the experience for him.,0,90.205,2025-05-26 11:05:59,2025-05-26 11:06:08
9,08a4fb2d-e6d7-4045-93f5-43125fe35db4,2073,"On a Saturday afternoon this summer I received a phone call from a good friend of mine. This friend I had known had a drinking problem for many years. I had made many attempts in the past to suggest help for him, but he refused. On this day my friend decided to drink and drive and crashed his car. This day was important to me because it was the day my friend hit rock bottom and decided to get help. On this day my friend went fishing and, unknown to me, he was drinking. I got the phone call from him that he had driven his car in a ditch and needed picked up because he could not get it out. I went to pick him up and we contacted another friend who had a truck and could possible pull his car out of this ditch.",0,91.5618,"On a Saturday afternoon this summer I received a phone call from a good friend of mine. This friend I had known had a drinking problem for many years. I had made many attempts in the past to suggest help for him, but he refused. On this day my friend decided to drink and drive and crashed his car. This day was important to me because it was the day my friend hit rock bottom and decided to get help. On this day my friend went fishing and, unknown to me, he was drinking. I got the phone call from him that he had driven his car in a ditch and needed picked up because he could not get it out. I went to pick him up and we contacted another friend who had a truck and could possible pull his car out of this ditch.",0,90.205,2025-05-26 11:05:59,2025-05-26 11:06:10
10,08a4fb2d-e6d7-4045-93f5-43125fe35db4,2073,"On a Saturday afternoon this summer I received a phone call from a good friend of mine. This friend I had known had a drinking problem for many years. I had made many attempts in the past to suggest help for him, but he refused. On this day my friend decided to drink and drive and crashed his car. This day was important to me because it was the day my friend hit rock bottom and decided to get help. On this day my friend went fishing and, unknown to me, he was drinking. I got the phone call from him that he had driven his car in a ditch and needed picked up because he could not get it out. I went to pick him up and we contacted another friend who had a truck and could possible pull his car out of this ditch.",0,91.5618,"On a Saturday afternoon this summer I received a phone call from a good friend of mine. This friend I had known had a drinking problem for many years. I had made many attempts in the past to suggest help for him, but he refused. On this day my friend decided to drink and drive and crashed his car. This day was important to me because it was the day my friend hit rock bottom and decided to get help. On this day my friend went fishing and, unknown to me, he was drinking. I got the phone call from him that he had driven his car in a ditch and needed picked up because he could not get it out. I went to pick him up and we contacted another friend who had a truck and could possible pull his car out of this ditch.",0,90.205,2025-05-26 11:06:57,2025-05-26 11:07:09
11,08a4fb2d-e6d7-4045-93f5-43125fe35db4,2073,"On a Saturday afternoon this summer I received a phone call from a good friend of mine. This friend I had known had a drinking problem for many years. I had made many attempts in the past to suggest help for him, but he refused. On this day my friend decided to drink and drive and crashed his car. This day was important to me because it was the day my friend hit rock bottom and decided to get help. On this day my friend went fishing and, unknown to me, he was drinking. I got the phone call from him that he had driven his car in a ditch and needed picked up because he could not get it out. I went to pick him up and we contacted another friend who had a truck and could possible pull his car out of this ditch.",0,91.5618,"On a Saturday afternoon this summer I received a phone call from a good friend of mine. This friend I had known had a drinking problem for many years. I had made many attempts in the past to suggest help for him, but he refused. On this day my friend decided to drink and drive and crashed his car. This day was important to me because it was the day my friend hit rock bottom and decided to get help. On this day my friend went fishing and, unknown to me, he was drinking. I got the phone call from him that he had driven his car in a ditch and needed picked up because he could not get it out. I went to pick him up and we contacted another friend who had a truck and could possible pull his car out of this ditch.",0,90.205,2025-05-26 11:07:12,2025-05-26 11:07:34
12,08a4fb2d-e6d7-4045-93f5-43125fe35db4,2073,"On a Saturday afternoon this summer I received a phone call from a good friend of mine. This friend I had known had a drinking problem for many years. I had made many attempts in the past to suggest help for him, but he refused. On this day my friend decided to drink and drive and crashed his car. This day was important to me because it was the day my friend hit rock bottom and decided to get help. On this day my friend went fishing and, unknown to me, he was drinking. I got the phone call from him that he had driven his car in a ditch and needed picked up because he could not get it out. I went to pick him up and we contacted another friend who had a truck and could possible pull his car out of this ditch.",0,91.5618,"On a Saturday afternoon this summer I received a phone call from a good friend of mine. This friend I had known had a drinking problem for many years. I had made many attempts in the past to suggest help for him, but he refused. On this day my friend decided to drink and drive and crashed his car. This day was important to me because it was the day my friend hit rock bottom and decided to get help. On this day my friend went fishing and, unknown to me, he was drinking. I got the phone call from him that he had driven his car in a ditch and needed picked up because he could not get it out. I went to pick him up and we contacted another friend who had a truck and could possible pull his car out of this ditch.",0,90.205,2025-05-26 11:07:36,2025-05-26 11:07:44
13,08a4fb2d-e6d7-4045-93f5-43125fe35db4,2073,"On a Saturday afternoon this summer I received a phone call from a good friend of mine. This friend I had known had a drinking problem for many years. I had made many attempts in the past to suggest help for him, but he refused. On this day my friend decided to drink and drive and crashed his car. This day was important to me because it was the day my friend hit rock bottom and decided to get help. On this day my friend went fishing and, unknown to me, he was drinking. I got the phone call from him that he had driven his car in a ditch and needed picked up because he could not get it out. I went to pick him up and we contacted another friend who had a truck and could possible pull his car out of this ditch.",0,91.5618,"On a Saturday afternoon this summer I received a phone call from a good friend of mine. This friend I had known had a drinking problem for many years. I had made many attempts in the past to suggest help for him, but he refused. On this day my friend decided to drink and drive and crashed his car. This day was important to me because it was the day my friend hit rock bottom and decided to get help. On this day my friend went fishing and, unknown to me, he was drinking. I got the phone call from him that he had driven his car in a ditch and needed picked up because he could not get it out. I went to pick him up and we contacted another friend who had a truck and could possible pull his car out of this ditch.",0,90.205,2025-05-26 11:07:47,2025-05-26 11:07:57
